"date","node1","node2","node3","Here"
"2016-11-11 02:00:00",297.715,313.728333333333,174.401,0
"2016-11-11 03:00:00",297.739,313.7775,187.061,0
"2016-11-11 04:00:00",297.727,313.740833333333,187.012,0
"2016-11-11 05:00:00",297.727,313.718,212.196,0
"2016-11-11 06:00:00",272.291,316.207666666667,186.827,0.417209302325581
"2016-11-11 07:00:00",348.131,326.348,161.815,3.15651162790698
"2016-11-11 08:00:00",322.966,347.343666666667,161.458,3.95409090909091
"2016-11-11 09:00:00",418.1585,323.739666666667,262.921,3.03348837209302
"2016-11-11 10:00:00",449.3198,313.927166666667,288.648,5.34136363636364
"2016-11-11 11:00:00",445.407333333333,310.170166666667,313.585,7.71285714285714
"2016-11-11 12:00:00",457.911833333333,290.476,313.536,7.50913043478261
"2016-11-11 13:00:00",453.732,314.150166666667,313.573,8.0524
"2016-11-11 14:00:00",465.587833333333,320.247,313.425,8.228
"2016-11-11 15:00:00",461.741,325.635666666667,313.302,8.31893617021277
"2016-11-11 16:00:00",443.3138,339.211666666667,288.142,7.43428571428571
"2016-11-11 17:00:00",419.695833333333,325.361333333333,237.318,4.33893617021277
"2016-11-11 18:00:00",403.6948,328.016666666667,211.961,3.67
"2016-11-11 19:00:00",395.458333333333,347.994666666667,186.74,5.45333333333333
"2016-11-11 20:00:00",402.958,342.911,186.691,3.20490909090909
"2016-11-11 21:00:00",395.703,338.671333333333,161.68,4.84769230769231
"2016-11-11 22:00:00",409.6035,359.555833333333,186.728,3.45978723404255
"2016-11-11 23:00:00",405.035,352.304333333333,186.568,3.33796296296296
"2016-11-12 00:00:00",404.329333333333,352.029833333333,186.58,0
"2016-11-12 01:00:00",398.7626,346.870833333333,186.543,1.27823529411765
"2016-11-12 02:00:00",398.759666666667,342.653,186.679,0
"2016-11-12 03:00:00",411.295,359.957166666667,186.74,0
"2016-11-12 04:00:00",402.9415,357.226166666667,161.68,0
"2016-11-12 05:00:00",398.769833333333,351.1025,161.68,0
"2016-11-12 06:00:00",378.737166666667,338.6505,NA,0
"2016-11-12 07:00:00",386.148166666667,335.1415,NA,1.20291666666667
"2016-11-12 08:00:00",402.9375,339.483666666667,NA,4.099
"2016-11-12 09:00:00",405.09825,343.072666666667,161.963,3.67
"2016-11-12 10:00:00",408.513333333333,337.265,NA,3.34288888888889
"2016-11-12 11:00:00",411.49425,326.782166666667,263.082,3.53230769230769
"2016-11-12 12:00:00",424.2088,318.879333333333,NA,4.29234042553191
"2016-11-12 13:00:00",438.665,315.429833333333,313.918,5.0721568627451
"2016-11-12 14:00:00",449.335,329.841,313.548,4.6722
"2016-11-12 15:00:00",422.143,326.710666666667,313.413,2.121
"2016-11-12 16:00:00",428.8676,360.2295,288.068,2.7168085106383
"2016-11-12 17:00:00",423.8225,323.700857142857,288.044,3.44166666666667
"2016-11-12 18:00:00",426.1376,318.1055,288.044,3.21958333333333
"2016-11-12 19:00:00",422.2025,313.845,262.638,3.53981132075472
"2016-11-12 20:00:00",421.559833333333,313.8305,262.724,4.3025
"2016-11-12 21:00:00",423.840833333333,313.818333333333,288.0315,3.45644444444444
"2016-11-12 22:00:00",423.8325,313.8185,288.019,1.60063829787234
"2016-11-12 23:00:00",423.844833333333,322.212833333333,NA,0.140816326530612
"2016-11-13 00:00:00",415.466666666667,313.8394,288.068,0
"2016-11-13 01:00:00",423.8285,313.824666666667,288.007,1.79652173913043
"2016-11-13 02:00:00",415.442166666667,317.994833333333,287.97,2.7392
"2016-11-13 03:00:00",421.4305,313.789666666667,288.044,0
"2016-11-13 04:00:00",423.844833333333,313.802,297.856,0
"2016-11-13 05:00:00",421.7868,313.828666666667,313.117,0
"2016-11-13 06:00:00",423.844833333333,313.797666666667,313.129,0
"2016-11-13 07:00:00",423.8325,316.523166666667,313.154,0
"2016-11-13 08:00:00",423.849,318.007166666667,313.142,0.0751020408163265
"2016-11-13 09:00:00",423.832333333333,319.5755,288.044,0.46
"2016-11-13 10:00:00",423.89225,322.4232,313.203,0.629318181818182
"2016-11-13 11:00:00",423.846666666667,322.415333333333,313.265,0.523953488372093
"2016-11-13 12:00:00",429.1234,304.4272,313.561,0.762608695652174
"2016-11-13 13:00:00",449.4012,314.097,313.635,2.34863636363636
"2016-11-13 14:00:00",445.128166666667,335.0615,313.869,0.9575
"2016-11-13 15:00:00",434.8715,326.622666666667,313.474,1.02511627906977
"2016-11-13 16:00:00",435.661666666667,334.8775,313.117,1.95183673469388
"2016-11-13 17:00:00",432.255833333333,347.323166666667,262.589,3.456
"2016-11-13 18:00:00",428.109,349.657285714286,237.158,1.7242
"2016-11-13 19:00:00",413.8544,338.761166666667,186.765,1.52291666666667
"2016-11-13 20:00:00",419.775833333333,341.132,186.728,0.46
"2016-11-13 21:00:00",405.06425,322.009833333333,161.68,0.46
"2016-11-13 22:00:00",423.9378,326.202666666667,186.79,0.46
"2016-11-13 23:00:00",398.795,NA,NA,0.0187755102040816
"2016-11-14 00:00:00",NA,NA,NA,0
"2016-11-14 01:00:00",NA,NA,NA,0
"2016-11-14 02:00:00",NA,NA,NA,0
"2016-11-14 03:00:00",NA,NA,NA,0
"2016-11-14 04:00:00",NA,NA,NA,0
"2016-11-14 05:00:00",NA,NA,NA,0
"2016-11-14 06:00:00",NA,NA,NA,0.24
"2016-11-14 07:00:00",NA,NA,NA,1.72818181818182
"2016-11-14 08:00:00",NA,NA,NA,6.9366
"2016-11-14 09:00:00",NA,NA,NA,4.38326086956522
"2016-11-14 10:00:00",NA,NA,NA,5.06282608695652
"2016-11-14 11:00:00",423.828666666667,339.281,NA,5.75057692307692
"2016-11-14 12:00:00",428.059666666667,334.7165,262.946,5.7204
"2016-11-14 13:00:00",430.605333333333,339.271,NA,6.03227272727273
"2016-11-14 14:00:00",413.319333333333,339.302,212.529,6.6672
"2016-11-14 15:00:00",408.7768,330.915666666667,165.4765,8.645
"2016-11-14 16:00:00",402.904833333333,339.289,162.321,3.98155555555556
"2016-11-14 17:00:00",378.2485,313.984,136.878,5.23020833333333
"2016-11-14 18:00:00",373.5208,313.935,136.927,3.14837209302326
